"id","pid","name","name_de","level","path_text"
"1",NULL,"Commodity","Werkstoffgruppe","l1","Commodity"
"2","1","Body","Karosserie","l2","Commodity > Body"
"3","1","Chassis","Fahrwerk","l2","Commodity > Chassis"
"4","1","Electronics","Elektronik","l2","Commodity > Electronics"
"5","1","E-Powertrain","e-Antrieb","l2","Commodity > E-Powertrain"
"6","1","Exterior","Exterieur","l2","Commodity > Exterior"
"7","1","General","Allgemein","l2","Commodity > General"
"8","1","Interior","Interior","l2","Commodity > Interior"
"9","1","Powertrain","Antrieb","l2","Commodity > Powertrain"
"10","9","4WD","Allradantrieb","l3","Commodity > Powertrain > 4WD"
"11","4","4WD","4WD","l3","Commodity > Electronics > 4WD"
"12","4","ABS","ABS ","l3","Commodity > Electronics > ABS"
"13","3","ABS / ESC","ABS / ESC","l3","Commodity > Chassis > ABS / ESC"
"14","4","Climate","Klima ","l3","Commodity > Electronics > Climate"
"15","4","AC Inverter (for Home Appliances)","AC-Wechselrichter (für Haushaltsgeräte)","l3","Commodity > Electronics > AC Inverter (for Home Appliances)"
"16","7","Acoustic Insulator","Akustikisolator","l3","Commodity > General > Acoustic Insulator"
"17","4","A/C Piping","Klimaanlagenrohrleitungen / AC-Kanalsystem","l3","Commodity > Electronics > A/C Piping"
"18","4","Active Engine Mount","Motorlager","l3","Commodity > Electronics > Active Engine Mount"
"19","4","Actuators","Aktuator","l3","Commodity > Electronics > Actuators"
"20","8","A/C Ventilator","Lüfter, Klimaanlage","l3","Commodity > Interior > A/C Ventilator"
"21","4","Adaptive Front-lighting System ECU","Steuergerät für adaptives Frontbeleuchtungssystem","l3","Commodity > Electronics > Adaptive Front-lighting System ECU"
"22","4","Advanced Driver Assistance ADAS","Advanced Driver Assistance ADAS","l3","Commodity > Electronics > Advanced Driver Assistance ADAS"
"23","4","Airbag  ","Airbag","l3","Commodity > Electronics > Airbag  "
"25","9","Air Cleaner / Air Filter","Luftreiniger / Luftfilter","l3","Commodity > Powertrain > Air Cleaner / Air Filter"
"26","4","Air Conditioner","Klimaanlage","l3","Commodity > Electronics > Air Conditioner"
"28","4","Air Meter","Luft Messgeraet","l3","Commodity > Electronics > Air Meter"
"29","9","Air Intake System / Module","Luftansaugsystem / -modul","l3","Commodity > Powertrain > Air Intake System / Module"
"30","9","Alternator / Generator","Alternator / Generator","l3","Commodity > Powertrain > Alternator / Generator"
"31","5","Anode Material for HV Battery","Anodenmaterial für Hochvolt-Batterie","l3","Commodity > E-Powertrain > Anode Material for HV Battery"
"32","4","Antennas","Antenne","l3","Commodity > Electronics > Antennas"
"33","4","Anti-theft / Immobilizer","Diebstahlschutz / Wegfahrsperre","l3","Commodity > Electronics > Anti-theft / Immobilizer"
"34","9","Automated Manual Transmission","Automatisiertes Schaltgetriebe","l3","Commodity > Powertrain > Automated Manual Transmission"
"35","9","Automatic Transmission (AT)","Automatic Transmission (AT)","l3","Commodity > Powertrain > Automatic Transmission (AT)"
"36","9","Auxiliary Battery","Auxiliary Battery","l3","Commodity > Powertrain > Auxiliary Battery"
"37","3","Auxiliary axle components","Achsnebenkomponenten","l3","Commodity > Chassis > Auxiliary axle components"
"38","2","Back Door Lock / Trunk Lock","Heckklappenverschluss / Kofferraumverschluss","l3","Commodity > Body > Back Door Lock / Trunk Lock"
"39","5","Battery Management System","Batteriemanagementsystem","l3","Commodity > E-Powertrain > Battery Management System"
"40","7","Bearing","Lager","l3","Commodity > General > Bearing"
"41","4","Body ECU","Steuergerät (SG)","l3","Commodity > Electronics > Body ECU"
"42","4","Body Mechanism Motor","Gehäuse/Karosserie Mechanismus Motor","l3","Commodity > Electronics > Body Mechanism Motor"
"43","7","Boot","Kofferraum","l3","Commodity > General > Boot"
"44","3","Brake system","Bremssystem","l3","Commodity > Chassis > Brake system"
"49","6","Bumper","Stoüfänger","l3","Commodity > Exterior > Bumper"
"50","2","Bumper  ","Stoßfänger","l3","Commodity > Body > Bumper  "
"51","7","Bush","Buchse","l3","Commodity > General > Bush"
"52","4","Filter","Filter","l3","Commodity > Electronics > Filter"
"53","4","Camera ECU","Camera ECU","l3","Commodity > Electronics > Camera ECU"
"54","9","Camshaft","Nockenwelle","l3","Commodity > Powertrain > Camshaft"
"55","4","Car Audio","Car Audio","l3","Commodity > Electronics > Car Audio"
"56","9","Fuel evaporation control device","Kraftstoffverdunstungs-Steuereinheit","l3","Commodity > Powertrain > Fuel evaporation control device"
"57","4","Car Navigation System","Car Navigation System","l3","Commodity > Electronics > Car Navigation System"
"58","9","Catalytic Converter","Katalysator","l3","Commodity > Powertrain > Catalytic Converter"
"59","9","Catalytic Converter (Shell)","Katalysator (Gehäuse)","l3","Commodity > Powertrain > Catalytic Converter (Shell)"
"60","9","Catalytic Converter (Substrate)","Katalysator (Substrat)","l3","Commodity > Powertrain > Catalytic Converter (Substrate)"
"61","5","Cathode Material for HV Battery","Kathodenmaterial für Hochvolt-Batterie","l3","Commodity > E-Powertrain > Cathode Material for HV Battery"
"62","2","Chassis Frame","Fahrgestellrahmen","l3","Commodity > Body > Chassis Frame"
"63","4","Clearance Sonar","Abstandssonar","l3","Commodity > Electronics > Clearance Sonar"
"64","9","Clutch","Kupplung","l3","Commodity > Powertrain > Clutch"
"65","9","Clutch Disc","Kupplungsscheibe","l3","Commodity > Powertrain > Clutch Disc"
"66","9","Clutch Master Cylinder","Kupplungs-Hauptzylinder","l3","Commodity > Powertrain > Clutch Master Cylinder"
"67","9","Clutch Slave Cylinder","Kupplungsnutzzylinder / Kupplungsnehmerzylinder","l3","Commodity > Powertrain > Clutch Slave Cylinder"
"68","8","Cockpit Module","Cockpit -Modul","l3","Commodity > Interior > Cockpit Module"
"69","4","Condenser","Kondensator","l3","Commodity > Electronics > Condenser"
"70","9","Connecting Rod","Pleuelstange","l3","Commodity > Powertrain > Connecting Rod"
"71","8","Console","Konsole","l3","Commodity > Interior > Console"
"72","4","Control Cable","Steuerkabel","l3","Commodity > Electronics > Control Cable"
"73","2","Convertible Roof","Cabrio-Verdeck","l3","Commodity > Body > Convertible Roof"
"74","9","Cooling Fan","Kühlerlüfter","l3","Commodity > Powertrain > Cooling Fan"
"75","4","Cooling Fan Motor","Kühlventilator-Motor","l3","Commodity > Electronics > Cooling Fan Motor"
"77","4","Crank / Cam Sensor","Kurbelwellensensor / Nockenwellensensor","l3","Commodity > Electronics > Crank / Cam Sensor"
"78","9","Crankshaft","Kurbelwelle","l3","Commodity > Powertrain > Crankshaft"
"79","2","Transmission","Getriebe","l3","Commodity > Body > Transmission"
"80","2","Crossmember","Querträger","l3","Commodity > Body > Crossmember"
"81","4","Cruise Control","Geschwindigkeitsregelanlage","l3","Commodity > Electronics > Cruise Control"
"82","8","Cup Holder, etc","Becherhalter, usw.","l3","Commodity > Interior > Cup Holder, etc"
"83","8","Curtain Airbag","Seitenairbag","l3","Commodity > Interior > Curtain Airbag"
"84","9","CVT","Stufenloses Getriebe","l3","Commodity > Powertrain > CVT"
"85","9","Cylinder Block","Zylinderblock","l3","Commodity > Powertrain > Cylinder Block"
"86","9","Cylinder Head","Zylinderkopf","l3","Commodity > Powertrain > Cylinder Head"
"87","9","Cylinder Head Cover","Zylinderkopfhaube","l3","Commodity > Powertrain > Cylinder Head Cover"
"88","9","Cylinder Head Gasket","Zylinderkopfdichtung","l3","Commodity > Powertrain > Cylinder Head Gasket"
"89","9","Cylinder Liner","Zylinderlaufbuchse","l3","Commodity > Powertrain > Cylinder Liner"
"90","2","Cockpit","Fahrerkabine","l3","Commodity > Body > Cockpit"
"91","5","DC-DC Converter","DC-DC-Wandler","l3","Commodity > E-Powertrain > DC-DC Converter"
"92","7","Diaphragm","Membran","l3","Commodity > General > Diaphragm"
"93","9","Diesel Injection","Diesel-Einspritzung","l3","Commodity > Powertrain > Diesel Injection"
"94","9","Ammonia catalyst","Ammoniak-Slip-Katalysator","l3","Commodity > Powertrain > Ammonia catalyst"
"95","9","Differential","Differential","l3","Commodity > Powertrain > Differential"
"96","3","Disc Brake (Caliper)","Scheibenbremse (Bremssattel)","l3","Commodity > Chassis > Disc Brake (Caliper)"
"99","4","Display","Anzeige","l3","Commodity > Electronics > Display"
"100","4","Door","Tür","l3","Commodity > Electronics > Door"
"101","2","Door","Tür","l3","Commodity > Body > Door"
"102","2","Door Module","Türmodul","l3","Commodity > Body > Door Module"
"103","8","Door Panel","Türverkleidung","l3","Commodity > Interior > Door Panel"
"104","8","Door Trim","Türverkleidung","l3","Commodity > Interior > Door Trim"
"105","9","Drive Plate","Antriebsplatte","l3","Commodity > Powertrain > Drive Plate"
"106","8","Driver Airbag","Fahrerairbag","l3","Commodity > Interior > Driver Airbag"
"107","9","Drive Shaft","Antriebswelle","l3","Commodity > Powertrain > Drive Shaft"
"108","3","Drum Brake Assembly","Trommelbremsanlage","l3","Commodity > Chassis > Drum Brake Assembly"
"109","3","Drum Brake (Drum)","Trommelbremse (Trommel)","l3","Commodity > Chassis > Drum Brake (Drum)"
"110","3","Drum Brake (Lining)","Trommelbremse (Belag)","l3","Commodity > Chassis > Drum Brake (Lining)"
"111","9","Dual Clutch Transmission","Doppelkupplungsgetriebe","l3","Commodity > Powertrain > Dual Clutch Transmission"
"112","7","Duct","Kanäle","l3","Commodity > General > Duct"
"113","9","EGR System","EGR System","l3","Commodity > Powertrain > EGR System"
"114","4","Electrical Connector","Elektro-Stecker","l3","Commodity > Electronics > Electrical Connector"
"115","4","Electric Parking Brake","Elektronisches Parkbremse","l3","Commodity > Electronics > Electric Parking Brake"
"116","4","Electronically Controlled Suspension ECU","Elektronisch gesteuerte Fahrwerks-Steuergerät","l3","Commodity > Electronics > Electronically Controlled Suspension ECU"
"117","4","Electronic Control Unit","Steuergerät","l3","Commodity > Electronics > Electronic Control Unit"
"118","6","Emblem","Emblem","l3","Commodity > Exterior > Emblem"
"119","9","Engine Assembly","Motoreinheit","l3","Commodity > Powertrain > Engine Assembly"
"120","9","Engine Bearing","Motorlager","l3","Commodity > Powertrain > Engine Bearing"
"121","4","Engine Control Unit","Motorsteuerungseinheit","l3","Commodity > Electronics > Engine Control Unit"
"122","9","Engine Cooling Module","Motorkühlmodul","l3","Commodity > Powertrain > Engine Cooling Module"
"123","9","Engine Mount","Motorlager","l3","Commodity > Powertrain > Engine Mount"
"124","9","Engine Valve","Motorventil","l3","Commodity > Powertrain > Engine Valve"
"127","9","Exhaust System","Auspuffanlage","l3","Commodity > Powertrain > Exhaust System"
"128","6","Exterior Lighting","Auüenbeleuchtung","l3","Commodity > Exterior > Exterior Lighting"
"129","6","Exterior Mirror","Auüenspiegel","l3","Commodity > Exterior > Exterior Mirror"
"130","7","Fastener","Befestigungselement","l3","Commodity > General > Fastener"
"131","8","Floor Carpet","Fuümatte","l3","Commodity > Interior > Floor Carpet"
"132","8","Floor Mat","Fuübodenmatte","l3","Commodity > Interior > Floor Mat"
"133","9","Flywheel","Schwungrad","l3","Commodity > Powertrain > Flywheel"
"134","6","Fog Lamp","Nebelscheinwerfer","l3","Commodity > Exterior > Fog Lamp"
"135","2","Front Body Structure","Vorderwagen","l3","Commodity > Body > Front Body Structure"
"136","6","Front Grille","Kühlergrill","l3","Commodity > Exterior > Front Grille"
"137","9","Fuel Filler","Kraftstoffzufuhr","l3","Commodity > Powertrain > Fuel Filler"
"138","9","Fuel Filter","Kraftstofffilter","l3","Commodity > Powertrain > Fuel Filter"
"139","9","Fuel Hose","Kraftstoffschlauch","l3","Commodity > Powertrain > Fuel Hose"
"140","9","Fuel Injection","Einspritzung","l3","Commodity > Powertrain > Fuel Injection"
"141","9","Fuel Line","Kraftstoffleitung","l3","Commodity > Powertrain > Fuel Line"
"142","9","Fuel Pump","Kraftstoffpumpe","l3","Commodity > Powertrain > Fuel Pump"
"143","4","Fuel Pump Control","Kraftstoffpumpe","l3","Commodity > Electronics > Fuel Pump Control"
"144","9","Fuel Supply System / Module","Kraftstoffversorgungssystem / -modul","l3","Commodity > Powertrain > Fuel Supply System / Module"
"145","9","Fuel Tank","Kraftstofftank","l3","Commodity > Powertrain > Fuel Tank"
"146","9","Particulate Filter","Partikelfilter","l3","Commodity > Powertrain > Particulate Filter"
"147","6","Glass Run Channel","Glaslaufkanal","l3","Commodity > Exterior > Glass Run Channel"
"148","8","Glove Box","Handschuhfach","l3","Commodity > Interior > Glove Box"
"149","9","Glow Plug","Glühkerze","l3","Commodity > Powertrain > Glow Plug"
