"name","id","pid","level"
"0.18um SiGe Chip for Rear side 24GHz radar","315","191","l4"
"100W AC inverter","316","15","l4"
"10.1-inch screen car navigation system","317","57","l4"
"10.25-inch fully digital TFT meter display","318","190","l4"
"10.25-inch meter display","319","190","l4"
"10 inch display","320","99","l4"
"10 inch meter cluster display","321","190","l4"
"10-inch single & dual view display","322","99","l4"
"10 speaker audio system","323","55","l4"
"10-speed automatic transmission","324","35","l4"
"10-speed automatic transmission clutch assembly","325","64","l4"
"10-way seat adjustment mechanism","326","242","l4"
"11 speaker audio system","327","55","l4"
"12.3 inch digital TFT display panel","328","190","l4"
"12.3-inch fully HD virtual cluster","329","190","l4"
"12.3 inch meter cluster horizontal display","330","190","l4"
"12.3-inch TFT instrument cluster","331","190","l4"
"12 inch center information vertical display","332","99","l4"
"12 inch IVI display","333","99","l4"
"1.2-megapixel CMOS image sensor for mono camera unit","334","53","l4"
"12 speaker audio system","335","55","l4"
"12-speed automated manual transmission","336","34","l4"
"12V battery","337","36","l4"
"12V Battery","101569","9","l3"
"12V battery cabin bracket","338","171","l4"
"12V battery fitting bolt","339","130","l4"
"12V battery fitting nut","340","130","l4"
"12V battery fuse","341","237","l4"
"12V battery fuse bolt","342","130","l4"
"12V battery nut","343","130","l4"
"12V battery screw","344","130","l4"
"12V battery sensor","345","36","l4"
"12V DC-DC converter ground strap","346","91","l4"
"12V Lithium-ion battery pack","347","168","l4"
"12-way seat adjustment mechanism","348","242","l4"
"13 inch center display","351","99","l4"
"13 speaker audio system","352","55","l4"
"14 speaker audio system","355","55","l4"
"1500W AC inverter","356","15","l4"
"150W AC inverter","357","15","l4"
"15-plus inch center display","358","99","l4"
"15 speaker audio system","359","55","l4"
"16 speaker audio system","360","55","l4"
"17 speaker audio system","361","55","l4"
"18 speaker audio system","362","55","l4"
"19 speaker audio system","363","55","l4"
"1-motor hybrid transmission","364","35","l4"
"1st row seat ventilation","365","241","l4"
"1st row seat ventilation system","366","241","l4"
"20 speaker audio system","367","55","l4"
"21 speaker audio system","368","55","l4"
"22 speaker audio system","369","55","l4"
"23 speaker audio system","370","55","l4"
"24GHz milliwave radar (Rear side)","371","191","l4"
"24GHz radar","372","191","l4"
"24GHz radar (Mazda i-ACTIVSENSE)","373","191","l4"
"24GHz radar sensor","374","191","l4"
"24GHz rader sensor (rear and side)","376","191","l4"
"24GHz Short range multi mode radar","377","191","l4"
"24V battery","378","36","l4"
"24V Battery","101572","9","l3"
"25 speaker audio system","379","55","l4"
"28 speaker audio system","380","55","l4"
"29 speaker audio system","381","55","l4"
"2-Dimensional LED array type ADB headlamp","382","153","l4"
"2-in-1 electric axle drive system (traction motor and motor controller)","383","290","l4"
"2-motor hybrid transmission","384","84","l4"
"2nd row bolster seat","385","241","l4"
"2nd row console bolt","386","130","l4"
"2nd row console trim","387","71","l4"
"2nd row quad seating (option)","388","241","l4"
"2nd row reading lamp","389","178","l4"
"2nd row seat","390","241","l4"
"2nd row seat armrest","391","241","l4"
"2nd row seat armrest bush","392","241","l4"
"2nd row seat back handle bezel","393","241","l4"
"2nd row seat back hardware bolt","394","130","l4"
"2nd row seat back projection cover","395","241","l4"
"2nd row seat backrest trim","396","241","l4"
"2nd row seat belt","397","243","l4"
"2nd row seat bolster","398","241","l4"
"2nd row seat controller screw","399","130","l4"
"2nd row seat cover","400","248","l4"
"2nd row seat cover assembly","401","248","l4"
"2nd row seat cover bolt","402","130","l4"
"2nd row seat cushion","403","241","l4"
"2nd row seat cushion clip","404","130","l4"
"2nd row seat frame","405","245","l4"
"2nd row seat headrest","406","158","l4"
"2nd row seat (left) back frame","407","245","l4"
"2nd row seat lever bracket","408","241","l4"
